N,len,scale
3,6717,2494
4,6678,2482
5,6599,2460
6,6533,2430
7,6507,2422
8,6402,2390
9,6383,2380
10,6334,2362
11,6305,2350
12,6267,2338
13,6217,2320
14,6164,2296
15,6143,2286
16,6096,2264
17,6074,2256
18,6030,2240
19,5976,2210
20,5945,2200
21,5882,2160
22,5852,2150
23,5401,1898
24,5341,1850
25,5331,1840
