P,I,N1,N2,N3
740,23,3168,3078,3155
700,91,3028,3023,3099
650,165,2714,2711,2708
600,248,2380,2531,2331
550,337,1874,1785,1735
500,428,708,829,838
450,546,20,15,13
400,629,7,2,3
350,750,3,5,5
625,207,2655,2643,2593
575,296,2067,2025,2010
525,390,1339,1377,1428
475,482,366,356,588
425,589,4,4,7
