V,I
-0.039,0.238
-0.091,0.171
-0.163,0.089
-0.22,0.038
-0.24,0.023
-0.36,-0.038
-0.41,-0.046
-0.461,-0.052
-0.5,-0.056
-0.548,-0.057
-0.672,-0.06
-0.563,-0.057
