V,I
-0.04,0.322
-0.18,0.148
-0.226,0.098
-0.378,-0.017
-0.406,-0.028
-0.467,-0.049
-0.671,-0.074
-0.734,-0.076
-0.867,-0.076
-0.809,-0.074
-0.71,-0.074
-0.673,-0.073
-0.627,-0.069
