V,I
-0.04,0.276
-0.149,0.212
-0.242,0.155
-0.322,0.106
-0.423,0.05
-0.521,0.013
-0.626,-0.021
-0.683,-0.032
-0.728,-0.036
-0.82,-0.046
-0.871,-0.047
-0.772,-0.041
-0.972,-0.05
-1.063,-0.051
