V,I
-0.031,0.327
-0.072,0.293
-0.16,0.187
-0.205,0.138
-0.264,0.082
-0.393,-0.014
-0.49,-0.05
-0.544,-0.063
-0.658,-0.074
-0.752,-0.077
-0.794,-0.078
-0.864,-0.078
-1.034,-0.079
