T,I,U
943,0.635,2.5
1803,1.116,8.27
943,0.639,2.58
1000,0.69,3.04
1000,0.683,2.97
1050,0.798,4.16
1050,0.717,3.31
1050,0.73,3.45
1100,0.791,4.09
1100,0.805,4.25
1100,0.792,4.11
1150,0.811,4.32
1150,0.76,3.76
1150,0.827,4.5
1200,0.851,4.78
1200,0.925,5.66
1200,0.973,6.25
1250,1.004,6.67
1250,1.062,7.45
1250,1.041,7.17
1300,1.079,8.35
1300,1.126,7.67
1300,1.126,8.37
1400,1.125,8.34
1500,1.037,7.13
