v_minus,I_minus,v_plus,I_plus
4.89,1183.3,5.19,1190.5
4.61,1178,4.85,1188.4
4.28,1177.9,4.52,1197.8
3.99,1175.7,4.21,1185.1
3.65,1165.7,3.81,1182
3.18,1172.7,3.35,1157.4
2.82,1136.1,2.99,1172.3
2.31,1129,2.42,1134.6
1.9,1085.7,2,1136.4
1.51,1067.2,1.6,1101.8
1.49,1063.7,1.61,1087.2
1.47,1054.1,1.57,1095.7
1.45,1052.2,1.53,1053.2
1.36,1047.3,1.43,1074.1
1.19,1022.3,1.27,1028.8
1.05,993.5,1.12,1013.3
0.84,938.2,0.88,941.9
0.69,896.2,0.74,941.2
