v_minus,I_minus,v_plus,I_plus
0,292.6,0,292.6
4.91,309.6,5.19,315.1
4.75,326,4.99,316.2
4.59,321.5,4.85,319.4
4.46,319.6,4.71,314.8
4.34,312.7,4.56,313.6
4.11,310.8,4.37,317.7
3.99,318.5,4.21,320.5
3.77,318.4,3.99,307.1
3.57,314,3.78,310.1
3.4,317.3,3.58,306.2
3.22,311.8,3.4,305
3,314.7,3.15,282.4
2.77,315.8,2.94,274
2.54,312.2,2.71,270.9
2.27,313.4,2.41,275.5
2.07,312.5,2.19,275.7
1.79,324.3,1.88,287.8
1.55,324.3,1.66,295.3
1.49,316.9,1.57,300.6
1.5,320.8,1.56,311
1.46,316,1.53,304.6
1.21,307.4,1.29,309.7
0.87,312.4,0.91,318.8
