V,I
-0.036,0.282
-0.051,0.272
-0.162,0.182
-0.121,0.221
-0.244,0.114
-0.307,0.069
-0.375,0.031
-0.428,0
-0.469,-0.024
-0.549,-0.051
-0.601,-0.06
-0.647,-0.065
-0.692,-0.07
-0.724,-0.074
-0.779,-0.076
-0.796,-0.078
-0.856,-0.08
-0.92,-0.082
-1,-0.083
-1.05,-0.081
-1.196,-0.082
-1.239,-0.081
-0.035,0.315
0.021,0.359
0.076,0.384
0.271,0.438
0.34,0.452
0.57,0.481
0.678,0.491
0.775,0.498
0.821,0.502
0.905,0.507
1.007,0.513
