V,I
-0.072,0.25
-0.105,0.205
-0.204,0.09
-0.233,0.063
-0.295,0.018
-0.356,-0.018
-0.452,-0.046
-0.503,-0.053
-0.521,-0.055
-0.561,-0.058
-0.595,-0.06
-0.685,-0.064
-0.728,-0.063
-0.766,-0.063
