V,I
-0.09,0.217
-0.138,0.154
-0.081,0.229
-0.185,0.1
-0.16,0.128
-0.393,-0.038
-0.262,0.035
-0.371,-0.029
-0.438,-0.048
-0.53,-0.061
-0.595,-0.066
-0.644,-0.067
-1.087,-0.078
-0.971,-0.067
-0.878,-0.068
