V,I
-0.055,0.269
-0.255,0.16
-0.334,0.111
-0.475,0.049
-0.524,0.029
-0.617,-0.01
-0.651,-0.017
-0.69,-0.025
-0.813,-0.041
-0.883,-0.043
-0.959,-0.041
-0.894,-0.042
