V,I
-0.225,0.199
-0.406,0.088
-0.453,0.061
-0.521,0.03
-0.611,0.009
-0.681,-0.026
-0.853,-0.043
-0.884,-0.043
-0.702,-0.027
-0.725,-0.032
-0.811,-0.041
-0.887,-0.044
-0.9,-0.044
