V,I
10.47,31.5
11.15,33.5
12.05,36
13.06,39
13.44,40
14.44,42
15.38,45
16.62,48
17.69,50
20.41,52
21.33,51
22.1,48
22.79,46
23.24,44
24.15,41
25.41,35
27.73,37
37.2,69
38.69,71
38.92,71
40.52,69
42.84,67
45.34,65
47.94,66
49.05,67.5
